Ignore mouse detection:
[[Overwatch.exe!0x29962b0] + 0x1c8] + 0x13

Overwatch.exe!0x2cef4e0 "AcceptsTab"
Overwatch.exe!0x2ced098 "Action"
Overwatch.exe!0x2cf0648 "Actions"
Overwatch.exe!0x2cee8f0 "ActiveClocks"
Overwatch.exe!0x2ce7470 "ActiveOnFocus"
Overwatch.exe!0x2ce92c8 "ActiveOnFocus"
Overwatch.exe!0x2ceb5a8 "ActiveOnFocus"
Overwatch.exe!0x2cf0808 "ActiveOnFocus"
Overwatch.exe!0x2ce5a80 "ActualHeight"
Overwatch.exe!0x2ce5a40 "ActualWidth"
Overwatch.exe!0x2ce68f8 "AllowColorBlindForUI"
Overwatch.exe!0x2ce68e8 "AllowTeamColorDropdowns"
Overwatch.exe!0x2ce3de8 "AlternateBackground"
Overwatch.exe!0x2ce3dd8 "AlternateForeground"
Overwatch.exe!0x2ce90f0 "AlternationCount"
Overwatch.exe!0x2ceda38 "Amount"
Overwatch.exe!0x2cdc3d0 "Amplitude"
Overwatch.exe!0x2ce4e38 "Amplitude"
Overwatch.exe!0x2ce5150 "Amplitude"
Overwatch.exe!0x2cdba38 "AnalogStick"
Overwatch.exe!0x2cecde0 "Angle"
Overwatch.exe!0x2cee290 "AngleX"
Overwatch.exe!0x2cee2a0 "AngleY"
Overwatch.exe!0x2cdc760 "ArcThickness"
Overwatch.exe!0x2ce0f28 "AutoCycleInterval"
Overwatch.exe!0x2cefee8 "AutoReverse"
Overwatch.exe!0x2ce71c0 "BackIcon"
Overwatch.exe!0x2cebb08 "Background"
Overwatch.exe!0x2ce3da8 "BackgroundContent"
Overwatch.exe!0x2ce3db8 "BackgroundContentTemplate"
Overwatch.exe!0x2ce3dc8 "BackgroundContentTemplateSelector"
Overwatch.exe!0x2cedbe8 "BackingFill"
Overwatch.exe!0x2cdba48 "BeginAngle"
Overwatch.exe!0x2cefef8 "BeginTime"
Overwatch.exe!0x2ce2b30 "Binding"
Overwatch.exe!0x2ce40a0 "Binding"
Overwatch.exe!0x2ce4438 "Binding"
Overwatch.exe!0x2cec410 "Binding"
Overwatch.exe!0x2ce2aa0 "BlendMode"
Overwatch.exe!0x2ce1368 "BlueOpacity"
Overwatch.exe!0x2ce1348 "BlueX"
Overwatch.exe!0x2ce1358 "BlueY"
Overwatch.exe!0x2cde548 "BorderBrush"
Overwatch.exe!0x2cde568 "BorderThickness"
Overwatch.exe!0x2ce0da0 "Bottom"
Overwatch.exe!0x2ce5130 "Bounces"
Overwatch.exe!0x2ce5140 "Bounciness"
Overwatch.exe!0x2ce1f50 "By"
