engine.dll!003D7008 IEngineSoundClient003
engine.dll!003D700C IEngineSoundServer003
engine.dll!003D8114 VEngineClient013
engine.dll!003D8114 VEngineClient014
engine.dll!003D8CA8 VDebugOverlay003
engine.dll!003D8CAC VPhysicsDebugOverlay001
engine.dll!005C6508 VEngineModel016
engine.dll!003D97CC VEngineEffects001
engine.dll!005EBC20 VEngineShadowMgr002
engine.dll!003D99A8 VEngineRenderView014
engine.dll!003D9A74 ISERVERPLUGINHELPERS001
engine.dll!00632E80 GameServerData001
engine.dll!003D9AEC ServerUploadGameStats001
engine.dll!003DAAB8 VEngineServer021
engine.dll!003DAAB8 VEngineServer022
engine.dll!003DAAB4 VEngineServer023
engine.dll!003DAC3C VCvarQuery001
engine.dll!003DB0D0 DownloadSystem001
engine.dll!003DB2A8 EngineClientReplay001
engine.dll!003DB2A4 EngineReplay001
engine.dll!003DB2CC EngineTraceClient003
engine.dll!003DB2B8 EngineTraceServer003
engine.dll!00650CD8 GAMEEVENTSMANAGER002
engine.dll!003DB308 GAMEEVENTSMANAGER001
engine.dll!0066C650 VENGINE_MATCHMAKING_VERSION001
engine.dll!0066EEE8 VModelInfoClient006
engine.dll!0066EF58 VModelInfoServer003
engine.dll!0066EF58 VModelInfoServer004
engine.dll!00670650 VEngineClientStringTable001
engine.dll!0067068C VEngineServerStringTable001
engine.dll!003DBFA0 VEngineRandom001
engine.dll!00671588 ReplayDemoPlayer001
engine.dll!00671B10 SpatialPartition001
engine.dll!006722CC StaticPropMgrClient004
engine.dll!006722D0 StaticPropMgrServer002
engine.dll!003DC080 VENGINE_HLDS_API_VERSION002
engine.dll!003DC054 VENGINE_LAUNCHER_API_VERSION004
engine.dll!003DC08C VENGINE_GAMEUIFUNCS_VERSION005
engine.dll!003DC144 VoiceServer002
engine.dll!003DC14C VProfExport001
engine.dll!003DC174 XboxSystemInterface001
engine.dll!003DC180 VENGINETOOLFRAMEWORK003
engine.dll!003DC180 VENGINETOOL003
engine.dll!003DC3B4 VCLIENTENGINETOOLS001
engine.dll!003DC3B8 VSERVERENGINETOOLS001
engine.dll!0068CA70 VTOOLFRAMEWORKVERSION002
engine.dll!003DC630 VEngineVGui001
inputsystem.dll!00029B90 InputSystemVersion001
materialsystem.dll!0012D00C COLORCORRECTION_VERSION_1
materialsystem.dll!00135398 VMaterialSystem081
materialsystem.dll!0012D060 VMaterialSystemConfig002
materialsystem.dll!0012D3C0 VMaterialSystemStub001
materialsystem.dll!0012D444 ShaderSystem002
shaderapidx9.dll!000E2008 VBAllocTracker001
shaderapidx9.dll!000E2010 MaterialSystemHardwareConfig012
shaderapidx9.dll!000E6C34 DebugTextureInfo001
shaderapidx9.dll!000E6C30 ShaderApi030
shaderapidx9.dll!000E6A10 ShaderDevice001
shaderapidx9.dll!000EA8AC ShaderDeviceMgr001
shaderapidx9.dll!000E2A38 ShaderShadow010
vgui2.dll!0005ED68 VGUI_InputInternal001
vgui2.dll!0005ED68 VGUI_Input005
vgui2.dll!0005F9F8 VGUI_Localize005
vgui2.dll!00060B48 VGUI_Scheme010
vgui2.dll!00060C48 VGUI_Surface030
vgui2.dll!0005D3B0 VGUI_System010
vgui2.dll!00060F48 VGUI_ivgui008
vgui2.dll!0005D630 VGUI_Panel009
vguimatsurface.dll!00146010 VGUI_Surface030
vphysics.dll!000D1020 VPhysics031
vphysics.dll!000D108C VPhysicsCollision007
vphysics.dll!000D8068 VPhysicsSurfaceProps001
vstdlib.dll!00032568 VEngineCvar004
vstdlib.dll!00031020 VProcessUtils001
client.dll!00C5C07C ClientReplay001
client.dll!00CD7274 VClientDllSharedAppSystems001
client.dll!00C60C54 GameClientExports001
client.dll!00C60C78 VClient017
client.dll!00CD7948 ClientVirtualReality001
client.dll!00CE882C VClientEntityList003
client.dll!00CF0A78 ClientLeafSystem002
client.dll!00C63644 IEffects001
client.dll!00C64078 VParticleSystemQuery001
client.dll!00C68398 VCENTERPRINT002
client.dll!00C6DB80 IReplayFactory001
client.dll!00D2CA30 GameMovement001
client.dll!00D38D30 VClientPrediction001
client.dll!00C7251C ClientRenderTargets001
client.dll!00D4C348 VCLIENTTOOLS001
server.dll!0093207C ServerReplay001
server.dll!0093CFF8 ServerGameTags001
server.dll!0094C2E4 IEffects001
server.dll!009DE024 VServerDllSharedAppSystems001
server.dll!00954BF0 ServerGameClients003
server.dll!00954BF0 ServerGameClients004
server.dll!00954BDC ServerGameDLL010
server.dll!00954BEC ServerGameEnts001
server.dll!00954BD4 ServerGameTags001
server.dll!00956A9C ServerGameTags001
server.dll!0095B698 ServerGameTags001
server.dll!009626FC ServerGameTags001
server.dll!0096413C PlayerInfoManager002
server.dll!00964144 PlayerInfoManager001
server.dll!00964140 BotManager001
server.dll!00964E6C PluginHelpersCheck001
server.dll!0096DDCC ServerGameTags001
server.dll!00974824 ServerGameTags001
server.dll!00976618 ServerGameTags001
server.dll!00979A98 ServerGameTags001
server.dll!0097DB14 ServerGameTags001
server.dll!0097E0F4 ServerGameTags001
server.dll!0097E0F8 ServerGameTags001
server.dll!0097E0FC ServerGameTags001
server.dll!0097FEE4 ServerGameTags001
server.dll!009805E8 ServerGameTags001
server.dll!00981FF8 ServerGameTags001
server.dll!009825D4 ServerGameTags001
server.dll!009829F4 ServerGameTags001
server.dll!00A6E630 GameMovement001
server.dll!009829FC ServerGameTags001
server.dll!00982F3C ServerGameTags001
server.dll!00A7FABC HLTVDirector001
server.dll!009863EC ServerGameTags001
server.dll!0098698C ServerGameTags001
server.dll!009869B0 ServerGameTags001
server.dll!009869C8 ServerGameTags001
server.dll!00986B18 ServerGameTags001
server.dll!00987360 ServerGameTags001
server.dll!00987B90 ServerGameTags001
server.dll!00987C10 ServerGameTags001
server.dll!00987F7C ServerGameTags001
server.dll!00989300 ServerGameTags001
server.dll!0098992C ServerGameTags001
server.dll!00989D94 ServerGameTags001
server.dll!0098A328 ServerGameTags001
server.dll!0098A32C ServerGameTags001
server.dll!0098A330 ServerGameTags001
server.dll!0098A334 ServerGameTags001
server.dll!0098A338 ServerGameTags001
server.dll!0098A33C ServerGameTags001
server.dll!0098A340 ServerGameTags001
server.dll!0098A344 ServerGameTags001
server.dll!0098A348 ServerGameTags001
server.dll!0098A34C ServerGameTags001
server.dll!0098A350 ServerGameTags001
server.dll!0098A354 ServerGameTags001
server.dll!0098A35C ServerGameTags001
server.dll!0098A364 ServerGameTags001
server.dll!0098A368 ServerGameTags001
server.dll!0098A36C ServerGameTags001
server.dll!0098A370 ServerGameTags001
server.dll!0098A374 ServerGameTags001
server.dll!0098A378 ServerGameTags001
server.dll!0098A37C ServerGameTags001
server.dll!0098A380 ServerGameTags001
server.dll!0098A384 ServerGameTags001
server.dll!0098A388 ServerGameTags001
server.dll!0098A38C ServerGameTags001
server.dll!0098A39C ServerGameTags001
server.dll!0098A3A0 ServerGameTags001
server.dll!0098A3A4 ServerGameTags001
server.dll!0098A3A8 ServerGameTags001
server.dll!0098A3AC ServerGameTags001
server.dll!0098A3B0 ServerGameTags001
server.dll!0098A3B4 ServerGameTags001
server.dll!0098A3B8 ServerGameTags001
server.dll!0098A3BC ServerGameTags001
server.dll!0098A3C0 ServerGameTags001
server.dll!0098A3C4 ServerGameTags001
server.dll!0098A3C8 ServerGameTags001
server.dll!0098A3CC ServerGameTags001
server.dll!0098A3E4 ServerGameTags001
server.dll!0098A3E8 ServerGameTags001
server.dll!0098A3EC ServerGameTags001
server.dll!0098A3F0 ServerGameTags001
server.dll!0098A3F4 ServerGameTags001
server.dll!0098A3F8 ServerGameTags001
server.dll!0098A3FC ServerGameTags001
server.dll!0098A400 ServerGameTags001
server.dll!0098A404 ServerGameTags001
server.dll!0098A418 ServerGameTags001
server.dll!0098A41C ServerGameTags001
server.dll!0098A420 ServerGameTags001
server.dll!0098A424 ServerGameTags001
server.dll!0098A428 ServerGameTags001
server.dll!0098A42C ServerGameTags001
server.dll!0098A430 ServerGameTags001
server.dll!0098A434 ServerGameTags001
server.dll!0098A438 ServerGameTags001
server.dll!0098A43C ServerGameTags001
server.dll!0098A440 ServerGameTags001
server.dll!0098A444 ServerGameTags001
server.dll!0098A448 ServerGameTags001
server.dll!0098A44C ServerGameTags001
server.dll!0098A450 ServerGameTags001
server.dll!0098A454 ServerGameTags001
server.dll!0098A458 ServerGameTags001
server.dll!0098A45C ServerGameTags001
server.dll!0098A460 ServerGameTags001
server.dll!0098A464 ServerGameTags001
server.dll!0098A498 ServerGameTags001
server.dll!0098ABDC ServerGameTags001
server.dll!0098AE40 ServerGameTags001
server.dll!0098AF1C ServerGameTags001
server.dll!0098CD78 ServerGameTags001
server.dll!0098CE30 ServerGameTags001
